,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
133,Final Fantasy XII: The Zodiac Age,2017,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1,PS4
134,Alien: Isolation,2014,Adventure,Sega,0.29,0.59,0.05,0.16,1.09,PS4
135,MLB The Show 18,2018,Sports,Sony Interactive Entertainment,0.86,0.0,0.0,0.2,1.06,PS4
136,The Evil Within II,2017,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05,PS4
137,Prey (2017),2017,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04,PS4
138,Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04,PS4
139,Ni-Oh,2017,Action,Tecmo Koei,0.34,0.36,0.2,0.14,1.03,PS4
140,MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.75,0.08,0.0,0.19,1.01,PS4
141,Steep,2016,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01,PS4
142,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01,PS4
143,Evolve,2015,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01,PS4
144,Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0.0,0.17,0.98,PS4
145,EA Sports UFC 3,2018,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97,PS4
146,Madden NFL 25,2013,Sports,EA Sports,0.64,0.15,0.0,0.17,0.96,PS4
147,MLB 16: The Show,2016,Sports,Sony Computer Entertainment,0.78,0.0,0.0,0.18,0.96,PS4
148,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0.0,0.16,0.94,PS4
149,Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9,PS4
150,Ni no Kuni II: Revenant Kingdom,2018,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89,PS4
151,God of War III,2015,Action,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89,PS4
152,Fortnite,2017,Action,Gearbox Software,0.42,0.32,0.0,0.15,0.89,PS4
153,LEGO Harry Potter Collection,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0.0,0.13,0.88,PS4
154,Minecraft: Story Mode,2015,Adventure,Mojang,0.31,0.42,0.0,0.14,0.87,PS4
155,BioShock The Collection,2016,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86,PS4
156,Thief 4,2014,Action,Square Enix,0.28,0.41,0.03,0.13,0.85,PS4
157,Until Dawn: Rush of Blood,2016,Shooter,Sony Interactive Entertainment,0.5,0.21,0.0,0.15,0.85,PS4
158,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.31,0.4,0.0,0.14,0.85,PS4
159,Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85,PS4
160,The Crew 2,2018,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82,PS4
161,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82,PS4
162,ARK: Survival Evolved,2017,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81,PS4
163,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,Square Enix,0.21,0.14,0.39,0.07,0.81,PS4
164,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79,PS4
165,Final Fantasy XIV: A Realm Reborn,2014,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79,PS4
166,Destiny: The Collection,2016,Shooter,Activision,0.24,0.4,0.02,0.12,0.78,PS4
167,F1 2016 (Codemasters),2016,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78,PS4
168,Hitman (2016),2017,Action,Square Enix,0.24,0.36,0.06,0.11,0.78,PS4
169,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76,PS4
170,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75,PS4
171,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75,PS4
172,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.0,0.13,0.75,PS4
173,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75,PS4
174,Sniper Elite 3,2014,Shooter,505 Games,0.25,0.37,0.0,0.12,0.74,PS4
175,MLB 14 The Show,2014,Sports,Sony Computer Entertainment,0.59,0.0,0.0,0.14,0.73,PS4
176,WipEout Omega Collection,2017,Racing,Sony Interactive Entertainment,0.12,0.49,0.0,0.11,0.72,PS4
177,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72,PS4
178,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71,PS4
179,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7,PS4
180,Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69,PS4
181,Yakuza 6,2016,Adventure,Sega,0.16,0.1,0.38,0.05,0.69,PS4
182,F1 2015,2015,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68,PS4
183,METRO 2033,2014,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68,PS4
184,Rocksmith 2014,2014,Music,Ubisoft,0.38,0.17,0.0,0.12,0.67,PS4
185,NHL 16,2015,Sports,EA Sports,0.38,0.16,0.0,0.12,0.66,PS4
186,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66,PS4
187,Tales of Berseria,2016,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65,PS4
188,Yakuza Zero: The Place of Oath,2015,Adventure,Sega,0.22,0.16,0.19,0.08,0.65,PS4
189,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65,PS4
190,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64,PS4
191,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.22,0.31,0.0,0.1,0.63,PS4
192,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.0,0.1,0.62,PS4
193,World of Final Fantasy,2016,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62,PS4
194,F1 2017,2017,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62,PS4
195,NHL 15,2014,Sports,EA Sports,0.32,0.19,0.0,0.11,0.62,PS4
196,Knowledge is Power,2017,Party,Sony Interactive Entertainment,0.05,0.47,0.0,0.09,0.61,PS4
197,L.A. Noire,2017,Adventure,Rockstar Games,0.18,0.32,0.0,0.1,0.6,PS4
198,Hidden Agenda,2017,Adventure,Sony Interactive Entertainment,0.08,0.42,0.0,0.09,0.59,PS4
199,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.17,0.3,0.03,0.09,0.58,PS4
200,Dragon Quest Builders: Revive Alefgard,2016,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58,PS4
201,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0.0,0.09,0.57,PS4
202,Resident Evil: Revelations 2,2015,Action,Capcom,0.14,0.25,0.11,0.07,0.57,PS4
